OBJECTID_1,OBJECTID,SSRSEGID,SOURCESEGI,SOURCEID,QUADCODE,ROADTYPE,STREETID,SEGMENTTYPE,FROMNODEID,TONODEID,STARTMEASURE,ENDMEASURE,LIFECYCLESTATUS,DIRECTIONALITY,OWNERSHIP,REGISTEREDNAME,STREETTYPE,QUADRANT,FROMADDRESSLEFT,TOADDRESSLEFT,FROMADDRESSRIGHT,TOADDRESSRIGHT,DESCRIPTION,INSERVICEDATE,OUTOFSERVICEDATE,UPDATETIME,FROMGRADE,TOGRADE,HPMSID,COUNT2015,SOURCE2015,SHAPE_LENG,SHAPELEN
36,434,63,9411,10020680,1,1,100020,2,21699,22212,0,152.76618187,1,2,1,2ND,ST,NW,6712,6798,6709,6799, ,2005-11-01T00:00:00.000Z,,2011-03-23T00:00:00.000Z,0,0,XXXXXXX,0, ,152.76618188,152.766182899548
37,436,64,12250,10020673,1,1,100020,2,19565,21699,0,88.61015077,1,2,1,2ND,ST,NW,6700,6710,6701,6707, ,2005-11-01T00:00:00.000Z,,2011-03-23T00:00:00.000Z,0,0,XXXXXXX,0, ,88.61015077,88.6101350430189
38,438,65,10726,10020660,1,1,100020,2,20956,19566,0,132.9004236,1,0,1,2ND,ST,NW,6600,6698,6601,6699, ,2005-11-01T00:00:00.000Z,,2011-03-23T00:00:00.000Z,0,0,XXXXXXX,0, ,132.90042361,132.900423444958
39,440,66,5768,10020630,1,1,100020,2,21986,16974,0,128.32892408,1,2,1,2ND,ST,NW,6300,6398,6301,6399, ,2005-11-01T00:00:00.000Z,,2011-03-23T00:00:00.000Z,0,0,XXXXXXX,0, ,128.32892408,128.328905312183
40,442,67,9979,10020540,1,1,100020,2,18300,20748,0,79.35639442,1,2,1,2ND,ST,NW,5400,5426,5401,5427, ,2005-11-01T00:00:00.000Z,,2011-03-23T00:00:00.000Z,0,0,XXXXXXX,0, ,79.35639443,79.356426348535
41,444,68,4213,10020530,1,1,100020,2,18299,18300,0,119.10231911,1,2,1,2ND,ST,NW,5300,5398,5301,5399, ,2005-11-01T00:00:00.000Z,,2011-03-23T00:00:00.000Z,0,0,XXXXXXX,0, ,119.10231911,119.102319185822
42,446,69,9793,10020520,1,1,100020,2,16006,18299,0,129.60085226,1,2,1,2ND,ST,NW,5200,5298,5201,5299, ,2005-11-01T00:00:00.000Z,,2011-03-23T00:00:00.000Z,0,0,XXXXXXX,0, ,129.60085226,129.600851913208
43,448,70,1064,10020510,1,1,100020,2,16005,16006,0,116.30885701,1,2,1,2ND,ST,NW,5100,5198,5101,5199, ,2005-11-01T00:00:00.000Z,,2011-03-23T00:00:00.000Z,0,0,XXXXXXX,0, ,116.308857,116.3088910156
44,497,95,4031,10023640,1,1,100023,2,18194,18195,0,149.25351081,1,2,1,2ND,PL,NW,6400,6498,6401,6499, ,2005-11-01T00:00:00.000Z,,2011-03-23T00:00:00.000Z,0,0,XXXXXXX,0, ,149.25351081,149.253558859524
45,499,96,6694,10023590,1,1,100023,2,21961,20900,0,153.71018315,1,2,1,2ND,PL,NW,5900,5998,5901,5999, ,2005-11-01T00:00:00.000Z,,2011-03-23T00:00:00.000Z,0,0,XXXXXXX,0, ,153.71018315,153.710198996552
46,501,97,3736,10030397,1,1,100030,2,18056,18057,0,29.38485844,1,2,1,3RD,ST,NW,3900,3998,3901,3999, ,2005-11-01T00:00:00.000Z,,2011-03-23T00:00:00.000Z,0,0,XXXXXXX,0, ,29.38485844,29.3848719319619
47,503,98,6778,10030070,1,1,100030,2,17673,356,0,104.68660336,1,1,1,3RD,ST,NW,700,726,701,727, ,2005-11-01T00:00:00.000Z,,2011-03-23T00:00:00.000Z,0,0,1003017A,0, ,104.68660336,104.686544476771
48,504,99,6778,10030070,1,1,100030,2,356,439,0,65.129622,1,1,1,3RD,ST,NW,700,726,701,727, ,2005-11-01T00:00:00.000Z,,2011-03-23T00:00:00.000Z,0,0,1003017A,0, ,65.129622,65.1296414938787
49,506,100,8986,10030060,1,1,100030,2,19839,17673,0,106.9603682,1,2,1,3RD,ST,NW,600,698,595,699, ,2005-11-01T00:00:00.000Z,,2011-03-23T00:00:00.000Z,0,0,1003017A,11.757,HPMS,106.96036821,106.960422894885
