OBJECTID,STREETSEG,WEEKNUMBER,HIGHSPEED_AM_NORUSH,HIGHSPEED_AM_RUSH,HIGHSPEED_EVENING,HIGHSPEED_OVERNIGHT,HIGHSPEED_PM_NORUSH,HIGHSPEED_PM_RUSH,LOWSPEED_AM_NORUSH,LOWSPEED_AM_RUSH,LOWSPEED_EVENING,LOWSPEED_NO_TIME,LOWSPEED_OVERNIGHT,LOWSPEED_PM_NORUSH,LOWSPEED_PM_RUSH,OTHER_PM_NORUSH,UNSAFEDRIVING_AM_NORUSH,UNSAFEDRIVING_AM_RUSH,UNSAFEDRIVING_EVENING,UNSAFEDRIVING_OVERNIGHT,UNSAFEDRIVING_PM_NORUSH,UNSAFEDRIVING_PM_RUSH,UNSAFEOPER_AM_NORUSH,UNSAFEOPER_AM_RUSH,UNSAFEOPER_EVENING,UNSAFEOPER_OVERNIGHT,UNSAFEOPER_PM_NORUSH,UNSAFEOPER_PM_RUSH,UNSAFEVEHICLE_OVERNIGHT,UNSAFEVEHICLE_PM_NORUSH,UNSAFEVEHICLE_PM_RUSH,REGISTEREDNAME,STREETTYPE,QUADRANT,FROMADDRESSLEFTTHEO,TOADDRESSLEFTTHEO,SHAPE_,SHAPELEN
93,6936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,NEW JERSEY,AVE,NW,1134,1198,,34.1205985547568
94,6947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,GALLATIN,ST,NE,2,10,,51.8455386423934
95,6954,1,14,10,0,0,17,0,130,73,16,0,47,238,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PERIMETER NORTH,RD,SW,0,0,,40.5502880313582
96,6962,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4TH,ST,NE,5100,5198,,102.325857312683
97,7025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,IRVING,ST,NW,1500,1598,,24.2895192975648
98,7032,1,0,0,0,0,1,0,5,4,3,0,1,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EAST CAPITOL,ST,BN,5600,5680,,189.443871244547
99,7033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NEW JERSEY,AVE,NW,1400,1422,,77.7077737858281
100,7100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14TH,ST,SW,178,198,,115.475451005987
101,7383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12TH,EXPY,NW,2,298,,290.929420641526
102,7395,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,I,ST,NW,1400,1498,,145.396641054003
103,7471,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,18TH,ST,NW,1900,1922,,79.4534566693282
104,7965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PINEY BRANCH,PKWY,NW,1700,1898,,840.634045780129
105,8009,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CONNECTICUT,AVE,NW,2350,2598,,513.133592410221
106,8122,1,0,0,0,0,0,0,11,7,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIVER,RD,NW,4500,4598,,211.415564406444
107,8491,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,0,0,0,I,ST,SW,2,48,,138.196264360899
108,8606,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,PENNSYLVANIA,AVE,NW,900,998,,186.75223737729
109,8893,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAMS MILL,RD,NW,2900,2998,,214.843872015992
110,8897,1,13,19,0,0,20,1,180,107,0,0,31,315,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PERIMETER EAST,RD,SW,0,0,,206.103364558952
111,8921,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,REED,ST,NE,2500,2540,,75.7567469953938
112,9086,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,SOUTHERN,AVE,SE,5200,5298,,24.431397903115
1,2,1,0,1,0,0,0,0,3,4,1,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOUTHERN,AVE,SE,1382,1398,,195.020180010037
2,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,18TH,ST,NW,1000,1098,,135.385430191562
3,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,E,ST,NW,2,40,,205.853492654021
4,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,MOUNT OLIVET,RD,NE,1096,1098,,48.6085977279336
5,164,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,CONNECTICUT,AVE,NW,1300,1698,,652.705500595329
6,292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,0,NEW YORK,AVE,NE,2300,3500,,1269.55917312036
7,320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,CONNECTICUT,AVE,NW,5100,5198,,145.218042606352
8,454,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16TH,ST,NW,200,298,,56.9607168060771
9,675,1,0,2,0,1,2,1,12,14,0,0,21,38,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BRANCH,AVE,SE,1900,1901,,84.5963420431283
10,677,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1ST,ST,NW,1526,1598,,82.200006772119
11,714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,DELAFIELD,ST,NE,900,998,,56.20259357517
12,722,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PEABODY,ST,NW,2,48,,43.8411536833972
13,734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,BENNING,RD,NE,3900,3928,,114.37078369849
14,759,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,9,6,2,0,0,0,15TH,ST,NW,200,298,,376.31068490756
15,772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7TH,ST,NW,200,280,,135.139203644314
16,838,1,0,0,0,0,0,0,6,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEW HAMPSHIRE,AVE,NE,5880,5898,,72.7850300475183
17,888,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,27TH,ST,SE,1400,1548,,139.16028663764
18,901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NEW HAMPSHIRE,AVE,NW,3640,3698,,155.47623888896
19,909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,PORTER,ST,NW,2900,2998,,164.737207540189
20,970,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NEW YORK,AVE,NW,210,222,,76.856324943836
21,1272,1,1,0,0,1,1,0,20,6,0,1,25,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,KENILWORTH,AVE,NE,500,598,,229.430709411003
22,1335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,BLAIR,RD,NW,6000,6098,,132.083113973992
23,1409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,GEORGIA,AVE,NW,6400,6478,,121.837351718167
24,1416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,1,0,0,0,STANTON,RD,SE,3040,3044,,22.8234886927489
25,1435,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOUTHERN,AVE,SE,3670,3710,,80.1737178690248
26,1479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9TH,ST,NW,500,598,,128.239146262957
27,1646,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,CONNECTICUT,AVE,NW,2100,2198,,119.833717769873
28,1681,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,PENNSYLVANIA,AVE,NW,1200,1298,,141.553918271965
29,1728,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,K,ST,NW,3000,3090,,87.5437571359405
30,1804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14TH,ST,NW,1300,1398,,177.440073261679
31,1829,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,L,ST,NW,1500,1598,,170.157666232923
32,1881,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,BLAIR,RD,NW,5900,5978,,178.883800604395
33,1936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,HARVARD,ST,NW,1500,1598,,87.4724690247062
34,1993,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARTIN LUTHER KING JR,AVE,SE,2698,2700,,259.161923347579
35,2028,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,0,0,0,NEBRASKA,AVE,NW,4912,4998,,91.2734796412902
