violation_desc,violation_type
FAIL TO PAY ATTENTION WHILE OPERATING A VEHICLE,UNSAFEDRIVING
FAIL TO KEEP IN LANE,UNSAFEDRIVING
TURN RIGHT ON RED WHEN PROHIBITED,UNSAFEDRIVING
FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,UNSAFEDRIVING
OWNER OPERATE OR PERMIT OPERATION OF UNINSRD VEH,UNSAFEOPER
FAIL TO SLOW AT AN INTERSECTION,UNSAFEDRIVING
IMPROPER TURN,UNSAFEDRIVING
PASSING STOP SIGN WITHOUT COMING TO A FULL STOP,UNSAFEDRIVING
VIOLATION OF NO TURN SIGN,UNSAFEDRIVING
DISTRACTED DRIVING,UNSAFEDRIVING
SEAT BELT REGULATION VIOLATION,UNSAFEDRIVING
FAIL TO DISPLAY PROOF OF VEHICLE INSURANCE,UNSAFEOPER
TURNING LEFT WHERE LEFT TURNS ARE PROHIBITED,UNSAFEDRIVING
SPEED UP TO TEN MPH OVER THE SPEED LIMIT,HIGHSPEED
SPEED 11-15 MPH OVER THE SPEED LIMIT,HIGHSPEED
"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE",UNSAFEDRIVING
DRIVING ON THE WRONG SIDE OF THE STREET,UNSAFEDRIVING
FAIL TO WEAR  HELMET MOTORCYCLE/MOTOR DRIVEN CYCLE,UNSAFEDRIVING
MAKING A U TURN WHERE U TURNS ARE PROHIBITED,UNSAFEDRIVING
DRIVE AT UNREASONABLE SPEED,LOWSPEED
ONE WAY STREET VIOLATION,UNSAFEDRIVING
OBSTRUCTED WINDSHIELD,UNSAFEVEHICLE
"OBSTRUCTED, REAR, FRONT OR SIDE VISION IN VEHICLE",UNSAFEVEHICLE
FAIL TO DISPLAY CURRENT INSPECTION STICKER,UNSAFEOPER
FAIL TO GIVE HAND OR MECHANICAL TURN SIGNAL,UNSAFEDRIVING
"RIGHT TURN ON RED, VIOLATION NO TURN ON RED SIGN",UNSAFEDRIVING
MAKING A TURN FROM THE WRONG LANE,UNSAFEDRIVING
PASS WITHOUT CAUTION,UNSAFEDRIVING
NO FRONT TAGS,UNSAFEOPER
PASSING A YELLOW TRAFFIC SIGNAL,UNSAFEDRIVING
FAIL TO PROPERLY FASTEN TAGS TO VEHICLE,UNSAFEOPER
ONE RUNNING LIGHT,UNSAFEDRIVING
NO LIGHTS RUNNING ON VEHICLE,UNSAFEVEHICLE
VIOLATION OF THE CHILD RESTRAINT ACT,UNSAFEDRIVING
SPEED 21-25 MPH OVER THE SPEED LIMIT,HIGHSPEED
SPEED 16-20 MPH OVER THE SPEED LIMIT,HIGHSPEED
NO REAR TAGS,UNSAFEOPER
CHANGE LANES WITHOUT CAUTION,UNSAFEDRIVING
DISOBEY TRAFFIC CONTROL DEVICE,UNSAFEDRIVING
FAIL TO YIELD RIGHT OF WAY,UNSAFEDRIVING
FAIL TO DISPLAY CURRENT TAGS,UNSAFEOPER
FOLLOW A VEHICLE TOO CLOSELY,UNSAFEDRIVING
FAIL TO YIELD TO ANOTHER  VEHICLE,UNSAFEDRIVING
DRIVING A TRUCK THROUGH A RESTRICTED STREET,UNSAFEDRIVING
COVERED LICENSE PLATE,UNSAFEOPER
NO STOP LIGHT(S),UNSAFEVEHICLE
OBJECT HANGING IN VEHICLE SO AS TO OBSTRUCT VISION,UNSAFEVEHICLE
PASSING  VEHICLE ON RIGHT,UNSAFEDRIVING
COLLIDING WITH FIXED OBJECT W/NO DAMAGE OR INJURY,UNSAFEDRIVING
VIOLATION OF ONE WAY STREET RESTRICTION,UNSAFEDRIVING
INTERFERE WITH TRAFFIC WHEN PULLING FROM CURB,UNSAFEDRIVING
CDL NOT-OUT-OF-SERVICE VIOLATION,UNSAFEOPER
DRIVE OVER MEDIAN,UNSAFEDRIVING
FAIL TO CLEAR INTERSECTION,UNSAFEDRIVING
NO REAR LIGHTS,UNSAFEVEHICLE
PERMIT UNAUTHORIZED PERSON TO OPERATE VEHICLE,UNSAFEOPER
FAIL TO CONTROL VEHICLE SPEED TO AVOID COLLIDING,HIGHSPEED
OBSTRUCTED TAGS,UNSAFEOPER
OVERTAKING VEHICLE STOPPED AT XWALK FOR PEDESTRIAN,UNSAFEDRIVING
NA,OTHER
